Well1	1 95 100 78
Well2	1 92 98 75
Well3	1 88 103 72
Well4	1 90 99 74
Well5	1 87 96 71
Well6	1 91 100 77
Well7	1 93 97 76
Well8	1 86 95 73
Well9	1 94 101 79
Well10	1 89 98 75
Well11	1 85 97 72
Well12	1 88 96 74
Well13	1 92 100 78
Well14	1 86 95 75
Well15	1 91 98 77
Well16	1 87 97 73
Well17	1 89 96 76
Well18	1 90 99 74
Well19	1 88 97 72
Well20	1 87 95 71
Well21	1 86 96 73
Well22	1 90 98 75
Well23	1 88 99 74
Well24	1 87 97 76
Well25	1 85 95 72
Well26	1 91 100 78
Well27	1 89 98 77
Well28	1 87 97 73
Well29	1 90 96 76
Well30	1 88 97 74
Well31	1 86 95 72
Well32	1 87 97 73
Well33	1 85 96 72
Well34	1 91 98 78
Well35	1 88 99 74
Well36	1 87 96 75
Well37	1 85 95 71
Well38	1 90 97 76
Well39	1 89 98 77
Well40	1 86 96 73
Well41	1 88 97 74
Well42	1 86 96 75
Well43	1 87 97 73
Well44	1 85 95 71
Well45	1 90 98 76
Well46	1 89 99 74
Well47	1 86 96 73
Well48	1 88 97 74
Well49	1 87 96 75
Well50	1 85 95 71
Well51	1 91 98 78
Well52	1 88 99 74
Well53	1 87 96 75
Well54	1 85 95 71
Well55	1 90 97 76
Well56	1 89 98 77
Well57	1 86 96 73
Well58	1 88 97 74
Well59	1 86 96 75
Well60	1 87 97 73
Well61	1 85 95 71
Well62	1 90 98 76
Well63	1 89 99 74
Well64	1 86 96 73
Well65	1 88 97 74
Well66	1 87 96 75
Well67	1 85 95 71
Well68	1 90 97 76
Well69	1 89 98 77
Well70	1 86 96 73
Well71	1 88 97 74
Well72	1 86 96 75
Well73	1 87 97 73
Well74	1 85 95 71
Well75	1 90 98 76
Well76	1 89 99 74
Well77	1 86 96 73
Well78	1 88 97 74
Well79	1 87 96 75
Well80	1 85 95 71
